,name,url,year,certificate,rating,votes,plot
384,DmC: Devil May Cry,https://www.imdb.com/title/tt2328902/?ref_=adv_li_tt,2013,M,7.7,"2,837","Dante, a young demon hunter, teams up with his estranged twin brother Vergil in order to save humanity from the powerful influence of the demon king Mundus."
385,Left 4 Dead,https://www.imdb.com/title/tt1323932/?ref_=adv_li_tt,2008,M,8.3,"6,032","A multi player co-op in post-apocalyptic Pennsylvania, where four immune survivors, Francis, Bill, Zoey, and Louis fight through hordes of zombies and Special Infected as they make their way to extraction zones."
386,Forza Horizon 5,https://www.imdb.com/title/tt14870662/?ref_=adv_li_tt,2021,E,8.7,845,"In Forza Horizon 5, explore the ever-evolving open world landscapes of Mexico with limitless, fun driving action in hundreds of the world's greatest cars."
387,Alice: Madness Returns,https://www.imdb.com/title/tt1976517/?ref_=adv_li_tt,2011,M,8.2,"1,298",10 year old Alice lost her family in a fire. For 10 years she remained catatonic in an asylum while her condition caused Wonderland to turn - dark.
388,Deathloop,https://www.imdb.com/title/tt10478532/?ref_=adv_li_tt,2021,M,7.8,632,"An assassin is caught in a deadly time-loop on an island full of enemies. In order to succeed, he'll have to die, die and die again."
389,Crash Bandicoot 4: It's About Time,https://www.imdb.com/title/tt12546328/?ref_=adv_li_tt,2020,E10+,8.0,715,"After Neo Cortex, Dr. N. Tropy and Uka Uka were last stranded on a distant planet. After decades of fruitless attempts, the trio finally make their escape, ripping an Evil-Scientist-sized ... See full summary »"
390,Sonic the Hedgehog 3,https://www.imdb.com/title/tt0291492/?ref_=adv_li_tt,1994,K-A,8.3,"1,801","On a routine trip to Angel Island, Sonic and Tails encounter a strange Echinda who steals the Chaos Emeralds under direct orders from the evil Dr. Eggman."
391,The Last of Us: Left Behind,https://www.imdb.com/title/tt3468818/?ref_=adv_li_tt,2014,M,8.9,"9,812","Find out what set Ellie on her course to the life changing events in The Last of Us (2013), whilst filling in the gaps during winter with Joel."
392,Pirates of the Caribbean: The Legend of Jack Sparrow,https://www.imdb.com/title/tt0815220/?ref_=adv_li_tt,2006,T,7.8,"11,934","Jack Sparrow and Will Turner try to steal an object from a Portuguese fortress in Panama. They are double-crossed and captured. While facing the gallows, Jack begins to retell some of his stories to Will."
393,Just Cause 4,https://www.imdb.com/title/tt8607500/?ref_=adv_li_tt,2018,M,5.8,895,Rico Rodriguez fights against a paramilitary group called the Black Hand who have very sinister plans to test experimental weather weaponry.
394,Prince of Persia: The Sands of Time,https://www.imdb.com/title/tt0384444/?ref_=adv_li_tt,2003,T,8.5,"5,026","A young prince with expert fighting skills acquires the Dagger of Time, and unknowingly releases the powerful Sands of Time with it. Now he is trapped in a palace with sand creatures and must undo the unfortunate deed he has done."
395,Gun,https://www.imdb.com/title/tt0482518/?ref_=adv_li_tt,2005,M,8.3,"2,345","Gun takes gamers to the untamed West of the late-1800s where greed, lust and murder are rampant."
396,Batman: The Enemy Within,https://www.imdb.com/title/tt7170214/?ref_=adv_li_tt,2017,M,8.4,"1,919","Batman is blackmailed by the nefarious Amanda Waller to go undercover and infiltrate a group of super villains that call themselves, The Pact."
397,Grand Theft Auto: Liberty City Stories,https://www.imdb.com/title/tt0465482/?ref_=adv_li_tt,2005,M,7.9,"4,349",Toni Cipriani works for Salvatore Leone and must clear Salvatore's path against the rest gang organizations contending to be the boss of the crime world.
398,Lego Star Wars: The Force Awakens,https://www.imdb.com/title/tt5430544/?ref_=adv_li_tt,2016,E10+,7.8,"1,542",The re-telling of the newest installment in the iconic Star Wars saga told through the witty humor of Lego.
399,Need for Speed,https://www.imdb.com/title/tt5108242/?ref_=adv_li_tt,2015,T,6.6,"1,079","The 22nd installment in the Need for Speed series features deep customization, a nocturnal open world, and an immersive plot. The overall focus is on deeper levels of authentic urban car culture, and is centered around the player's car."
400,Terminator: Resistance,https://www.imdb.com/title/tt10983006/?ref_=adv_li_tt,2019,,7.2,413,"First person shooter set in a nightmarish future based on the first two Terminator films, where killer robots controlled by a rogue A.I. called Skynet are hunting humans to extinction. A refugee joins the resistance to try to stop them."
401,Fable II,https://www.imdb.com/title/tt1310502/?ref_=adv_li_tt,2008,M,8.1,"2,747","A peasant child finds out about the heroic past of the child's family. Once old enough, the hero decides to reclaim his or hers heritage."
402,Final Fantasy XIII,https://www.imdb.com/title/tt0802988/?ref_=adv_li_tt,2009,T,7.2,"3,187","In a futuristic city, a group of adventurers must fight the government forces controlled by an alien force to stop its plan to destroy the world."
403,Bayonetta,https://www.imdb.com/title/tt1579932/?ref_=adv_li_tt,2009,M,7.9,"1,813","A trigger happy witch wakes up with no recollection of who or where she is, when a flashback takes her 500 years back in time and leads her on a quest to retrieve artifacts known as ""Eyes of the World""."
404,Xenoblade Chronicles: Definitive Edition,https://www.imdb.com/title/tt10951016/?ref_=adv_li_tt,2020,T,8.7,206,Join the fight between man and machine in the definitive edition of this critically-acclaimed RPG. Discover the origins of Shulk as he and his companions clash against a seemingly-unstoppable mechanical menace.
405,Marvel Ultimate Alliance 3: The Black Order,https://www.imdb.com/title/tt9445030/?ref_=adv_li_tt,2019,T,7.8,266,"Assemble a team of Marvel Heroes from a huge cast including the Avengers, Guardians of the Galaxy, X-Men and more to prevent galactic devastation at the hands of the mad cosmic tyrant Thanos and his ruthless warmasters, The Black Order."
406,Dead Space 2,https://www.imdb.com/title/tt1697062/?ref_=adv_li_tt,2011,M,8.8,"6,581","Set three years after the events of the first, Isaac Clarke's fight against a new Necromorph outbreak on the Sprawl, a space station above Saturn's largest moon, Titan."
407,Duke Nukem 3D,https://www.imdb.com/title/tt0228246/?ref_=adv_li_tt,1996,M,8.4,"3,228",Blonde action hero Duke Nukem takes on murderous aliens and mutated Los Angeles police officers that have taken over Los Angeles.
408,Sonic the Hedgehog,https://www.imdb.com/title/tt0291490/?ref_=adv_li_tt,1991,K-A,8.1,"3,209",A blue hedgehog with supersonic speed must rescue animals from being turned into robots by a mad scientist.
409,Command & Conquer 3: Tiberium Wars,https://www.imdb.com/title/tt0848263/?ref_=adv_li_tt,2007,T,8.1,"2,071",You are in command of the armies of either GDI or NOD with the fate of Earth in the balance.
410,Vampyr,https://www.imdb.com/title/tt6076362/?ref_=adv_li_tt,2018,M,7.1,"1,039","Jonathan Reid, a doctor who has turned into a vampire must come to terms with his undead condition, and deal with being torn between the Hippocratic Oath and his newfound bloodthirsty nature."
411,Deus Ex,https://www.imdb.com/title/tt0286585/?ref_=adv_li_tt,2000,M,9.2,"3,226","In a dark cyberpunk future where poverty, disease, oppression and terrorism are widespread, J.C. Denton, a new cybernetically-enhanced special agent, finds evidence of a massive conspiracy when his brother, also an agent, goes rogue."
412,Stargate SG-1: Unleashed,https://www.imdb.com/title/tt2567488/?ref_=adv_li_tt,2013,,8.1,171,"The Goa'uld Sekhmet is released from the canopic jar and plots his revenge against the Earth. After Jack O'Neill from the alternate timeline appears at the SGC, the original team is sent to... See full summary »"
413,Fortnite: Chapter 2,https://www.imdb.com/title/tt11131586/?ref_=adv_li_tt,2019,,4.8,"1,390","After a huge black hole absorbed the original Fortnite Battle Royale island, a new one came to the game. Presenting a whole new world."
414,God of War: Chains of Olympus,https://www.imdb.com/title/tt1064955/?ref_=adv_li_tt,2008,M,8.4,"2,702","In an earlier time, when still in service to the gods, Kratos must fight to save the land from a growing darkness."
415,Dark Souls II,https://www.imdb.com/title/tt2794338/?ref_=adv_li_tt,2014,T,8.1,"3,130","A cursed warrior travels to Drangleic, the forgotten land of a once-great king, hoping to find a cure before going insane."
416,GhostWire: Tokyo,https://www.imdb.com/title/tt10478562/?ref_=adv_li_tt,2022,T,7.1,185,A massive paranormal event causes the sudden disappearance of 99% of the population while spirits from Japanese folklore storm Tokyo. Players will harness paranormal abilities to solve the mystery of the disappearances and save the city.
417,Catwoman: The Game,https://www.imdb.com/title/tt0418592/?ref_=adv_li_tt,2004,T,4.0,304,"Catwoman is based upon the DC Comics character. The film and game follow the story of Patience Phillips, who is killed after she uncovers a dark secret held by her employers. Brought back ... See full summary »"
418,Call of the Dead,https://www.imdb.com/title/tt1896726/?ref_=adv_li_tt,2011,,8.3,723,"The ""Escalation"" map expansion pack for Call of Duty: Black Ops (2010) features a zombie level known as 'Call of the Dead'. Set in a mysterious Siberian island, a group of four fearless explorers fight for their lives amidst an army of zombies."
419,Forza Horizon 4,https://www.imdb.com/title/tt8550918/?ref_=adv_li_tt,2018,E,8.6,"1,438","Experience a shared world with dynamic seasons. Explore beautiful scenery, collect over 450 cars and become a Horizon Superstar in historic Britain. With highlight the super-car ""McLaren Senna"", in honor of Ayrton Senna."
420,Final Fantasy XII,https://www.imdb.com/title/tt0388944/?ref_=adv_li_tt,2006,T,8.2,"3,347","Street thief Vaan becomes embroiled in a quest to save the occupied kingdom in which he resides, Dalmasca, from a war that seems imminent."
421,Back 4 Blood,https://www.imdb.com/title/tt10324528/?ref_=adv_li_tt,2021,M,6.1,397,A thrilling cooperative first person shooter from the creators of the critically acclaimed Left 4 Dead franchise. You are at the center of a war against the Ridden. These once-human hosts ... See full summary »
422,Lego Batman: The Videogame,https://www.imdb.com/title/tt1149317/?ref_=adv_li_tt,2008,E10+,7.8,"3,378","The notorious criminals including the Joker, the Penguin, Catwoman, and Scarecrow have broken out of Arkham Asylum and are set to wreak havoc in Gotham City."
423,Guilty Gear: Strive,https://www.imdb.com/title/tt13755440/?ref_=adv_li_tt,2021,T,7.9,86,"After defeating the threat known as the Universal Will, Sol Badguy enjoyed a brief moment of peace. Until Asuka R. Kreutz, known as ""That Man"" who left his mark as the worst criminal in all... See full summary »"
424,Metro 2033,https://www.imdb.com/title/tt1675746/?ref_=adv_li_tt,2010,M,8.0,"4,235","Man has fallen, struggling to survive within Moscow's metro. In the face of a new mysterious threat young Artyom must leave his home station for the first time, making a dangerous journey to the legendary Polis to enlist their help."
425,Prototype,https://www.imdb.com/title/tt1233574/?ref_=adv_li_tt,2009,M,7.5,"3,117","You are Alex Mercer, a shapeshifter with amazing powers of combat, destruction, and deception. Stalk the streets of New York City, searching for the life you lead before. Take the form of anyone in your path out to capture or kill you."
426,Destiny,https://www.imdb.com/title/tt2983582/?ref_=adv_li_tt,2014,T,7.7,"5,072","Years in the future, a group of space-born humans fight to remove the Earth of alien invaders."
427,Return to Castle Wolfenstein,https://www.imdb.com/title/tt0289421/?ref_=adv_li_tt,2001,M,8.3,"2,516","In 1945, the Nazis are planning to resurrect Heinrich I. After being imprisoned, it is up to O.S.A. soldier B.J. Blazkowicz to foil the operation."
428,Teenage Mutant Ninja Turtles: Shredder's Revenge,https://www.imdb.com/title/tt14731510/?ref_=adv_li_tt,2022,E10+,8.2,241,"Teenage Mutant Ninja Turtles: Shredder's Revenge reunites Leonardo, Michelangelo, Donatello and Raphael as they kick shell in a beautifully realized beat 'em up."
429,Grand Theft Auto Online,https://www.imdb.com/title/tt16528784/?ref_=adv_li_tt,2013,,6.7,73,The player must go up in the life of crime doing jobs for the crime associates he gets to know.
430,Grand Theft Auto 2,https://www.imdb.com/title/tt0255202/?ref_=adv_li_tt,1999,M,7.5,"3,775","A sequel to Grand Theft Auto (1997), this game once again puts the player in the role of an aspiring thug hoping to climb to the top of the criminal world by completing missions and terrorizing the citizenry."
431,Judgment,https://www.imdb.com/title/tt9397284/?ref_=adv_li_tt,2018,M,8.3,418,"We have followed Kazuma Kiryu through his journey to solve mysteries, save a little girl and protect an orphanage through the Yakuza series. Judge Eyes is set in the Yakuza universe in a ... See full summary »"
432,Dante's Inferno,https://www.imdb.com/title/tt1409575/?ref_=adv_li_tt,2010,M,7.7,"1,704",A man must travel the nine circles of hell to save his beloved wife and repent for his own sins.
433,Jak and Daxter: The Precursor Legacy,https://www.imdb.com/title/tt0308426/?ref_=adv_li_tt,2001,E10+,8.5,"1,916","Jak tries to help his friend Daxter after he transforms into a hybrid of an otter and a weasel. With the help of a Sage, the pair learn that they must save their world from the antagonists Gol and Maia, who plan to flood it with Dark Eco."
434,Sonic and the Fallen Star,https://www.imdb.com/title/tt15964560/?ref_=adv_li_tt,2021,E,8.3,11,Sonic and The Fallen Star is a 2D speed-based platformer in the style of the 2D Classic Sonic games.
435,Wing Commander III: Heart of the Tiger,https://www.imdb.com/title/tt0111727/?ref_=adv_li_tt,1994,T,8.8,793,"When the Terran Confederation faces the possibility of humanity losing the war with the Kilrathi, Colonel Christopher Blair (Mark Hamill), who the Kilrathi have dubbed ""The Heart of the Tiger"", is summoned."
436,Reservoir Dogs,https://www.imdb.com/title/tt0808446/?ref_=adv_li_tt,2006,M,7.6,"2,322",A video game adaptation of Quentin Tarantino's film Reservoir Dogs (1992).
437,Fallout 2: A Post-Nuclear Role-Playing Game,https://www.imdb.com/title/tt0183066/?ref_=adv_li_tt,1998,M,9.4,"3,861","In a post-nuclear future, the descendant of an ancient exiled hero must leave his tribe in search of the Garden of Eden Creation Kit, the last chance of survival for his people."
438,Lego Batman 2: DC Super Heroes,https://www.imdb.com/title/tt2316821/?ref_=adv_li_tt,2012,E10+,8.1,"2,536","Batman and Robin join forces with Superman, Wonder Woman and Green Lantern to save Gotham City from Lex Luthor and The Joker."
